ID_kit_api_CAM,cupule_1,cupule_2,cupule_3,cupule_4,cupule_5,cupule_6,cupule_7,cupule_8,cupule_9,cupule_10,cupule_11,cupule_12,cupule_13,cupule_14,cupule_15,cupule_16,cupule_17,cupule_18,cupule_19,cupule_20,cupule_21,ID_strains,ID_reference,manual_annotation,created_CAM,modify_in_pgsql_CAM,ID_tbl_api_CAM,last_change
1686,-,+,+,-,+,+,-,-,-,-,-,-,+,-,+,-,-,+,+,-,+,146903,50999,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1687,-,+,+,-,-,+,-,-,-,+,-,-,+,-,+,-,-,-,-,-,+,147015,51115,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1688,-,-,+,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,139200,51162,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1689,-,-,+,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,147159,51288,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1690,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,147165,51294,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1691,-,+,-,+,-,+,-,-,-,+,-,-,+,-,+,-,-,-,-,-,+,147211,51356,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1692,-,+,+,-,-,+,-,+,-,+,-,-,+,-,+,-,-,-,-,-,+,147286,51439,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1693,-,+,+,+,-,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,-,147304,51461,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1694,-,+,+,-,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,+,147482,51663,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1695,-,+,+,-,-,+,-,+,-,+,-,-,+,+,-,-,-,-,-,-,+,147514,51695,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1696,,,,,-,+,+,,,-,-,-,-,,-,,,-,,,-,147538,51719,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1697,-,+,+,-,-,+,-,+,-,+,-,-,+,-,+,-,-,-,-,-,+,147541,51722,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1698,-,-,+,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,-,-,-,147552,51739,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1699,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,147553,51740,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1700,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,147562,51750,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1701,-,+,+,+,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,147709,51910,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1702,-,+,+,-,-,+,-,+,-,-,-,-,+,+,+,-,-,+,-,-,-,147734,51939,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1703,-,+,+,+,-,+,+,+,-,+,-,-,+,+,+,-,-,+,-,-,+,147738,51943,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1704,-,-,+,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,-,-,+,147838,52058,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1705,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,147858,52079,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1706,-,+,+,-,-,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-,+,147859,52080,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1707,+,+,+,-,-,+,-,+,-,+,-,-,+,+,+,+,+,-,-,-,-,147960,52190,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1708,-,-,+,-,+,+,-,-,-,+,+,-,-,-,-,+,-,+,-,-,+,147977,52207,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1709,-,+,+,+,+,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,+,147986,52216,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1710,-,+,+,+,-,+,-,-,-,+,-,-,+,-,+,-,-,-,+,-,+,148051,52289,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1711,-,-,+,-,-,-,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,148071,52309,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1712,-,+,+,-,-,+,-,+,-,+,-,-,+,+,+,-,-,-,-,-,+,148193,52456,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1713,-,+,+,+,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,148246,52512,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1714,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,148279,52551,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1715,-,+,+,-,-,-,-,+,-,+,-,-,+,-,+,-,-,-,-,+,+,148422,52711,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1716,+,-,+,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,148598,52919,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1717,-,+,+,+,-,+,-,+,-,+,-,-,+,-,+,-,-,+,-,+,+,148601,52922,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1718,+,-,+,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,148752,53080,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1719,-,-,+,+,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,148754,53082,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1720,-,-,+,+,-,+,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,148857,53189,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1721,-,+,+,+,-,+,-,-,-,+,-,-,+,-,+,-,-,+,+,-,-,149032,53370,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1722,-,+,+,+,-,+,-,-,-,+,-,-,+,+,+,-,-,+,+,-,-,149139,53493,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1723,+,+,+,-,-,-,-,-,+,-,+,-,+,+,-,+,+,+,-,-,-,149361,53747,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1724,-,-,+,+,-,-,+,-,-,+,-,-,+,-,+,-,-,-,+,-,+,149535,53955,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1725,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,149586,54018,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1726,-,+,+,-,+,+,+,-,-,+,-,-,+,-,+,-,-,+,-,-,+,149640,54073,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1727,-,+,+,-,+,+,+,-,-,+,-,-,+,-,+,-,-,+,-,-,+,149645,54078,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1728,-,+,+,+,-,+,-,-,-,+,-,-,+,-,+,-,-,+,+,-,+,136814,54319,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1729,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,149901,54372,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1730,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,+,149928,54401,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1731,-,+,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,149948,54430,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1732,+,+,+,+,-,+,+,-,-,+,-,+,+,+,+,-,-,+,-,+,+,149992,54482,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1733,+,-,-,-,+,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,+,150101,54604,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1734,-,+,+,-,-,+,-,+,-,+,-,-,+,+,+,-,+,-,-,-,+,150137,54643,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1735,+,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,150213,54731,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1736,-,+,+,+,-,+,+,+,-,+,-,-,+,+,+,-,-,+,-,-,+,150216,54734,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1737,+,-,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,150435,54993,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1738,-,+,+,-,-,+,-,+,-,+,-,-,+,+,+,-,-,-,-,-,+,150449,55009,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1739,-,+,+,+,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,132840,65619,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1740,-,+,+,-,-,+,-,+,-,+,-,-,+,+,+,-,-,+,-,-,+,150476,55046,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1741,-,-,+,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,150501,55071,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1742,-,+,-,+,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,150595,55180,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1743,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,150710,55307,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1744,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,-,-,-,-,-,+,150779,55387,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1745,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,151238,55917,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1746,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151239,55918,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1747,-,+,+,+,-,+,+,-,-,+,-,-,+,-,-,-,-,+,-,-,-,151271,55959,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1748,-,-,+,+,-,-,+,-,-,+,-,+,+,-,-,+,+,+,+,-,-,151574,56281,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1749,-,+,+,-,-,+,-,+,-,+,-,-,+,-,-,-,+,-,-,+,+,131136,56327,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1750,-,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,151726,56455,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1751,-,+,+,-,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,151730,56460,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1752,+,+,+,-,-,+,-,+,-,+,-,-,+,+,+,+,+,-,-,-,-,151748,56481,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1753,-,+,+,-,-,+,-,+,-,-,-,+,+,+,+,+,+,+,-,-,+,151750,56483,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1754,-,+,+,-,-,+,-,+,-,+,-,-,+,-,+,-,+,-,-,-,+,151899,56666,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1755,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,152602,57558,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1756,-,+,+,-,+,+,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,153095,58182,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1757,-,+,+,+,-,+,-,-,-,+,-,-,+,-,+,-,-,-,+,-,+,153190,58293,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1758,-,+,+,-,-,+,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,153210,58319,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1759,-,+,+,+,+,+,+,+,-,+,-,-,+,+,+,-,-,-,+,-,+,153251,58385,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1760,-,+,+,-,-,+,-,-,-,+,-,-,+,+,+,-,+,-,-,+,+,153656,58888,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1761,-,+,+,-,-,-,-,-,-,-,-,-,+,+,+,-,-,+,-,-,+,153775,59055,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1762,-,+,+,-,-,+,-,-,-,+,-,-,+,-,+,+,+,-,-,-,-,153919,59267,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1763,-,+,+,-,-,+,+,-,-,-,-,-,+,-,+,-,-,+,+,-,-,153920,59268,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1764,-,+,+,-,-,+,-,-,-,+,-,-,+,+,+,-,-,-,-,+,,154331,59806,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1765,-,+,+,+,+,+,+,+,-,+,-,-,+,-,+,-,-,+,-,-,-,154346,59825,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1766,-,+,+,+,-,+,-,-,-,+,-,-,+,+,+,-,-,+,-,-,+,154407,59898,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1767,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,154636,60286,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1768,-,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,154938,60732,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1769,-,+,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,154939,60733,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1770,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,155052,60905,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1771,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,155053,60906,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1772,-,+,+,-,-,+,-,-,-,+,-,-,+,-,-,+,+,-,-,-,+,155204,61123,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1773,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,+,155372,61348,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1774,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,+,155373,61350,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1775,-,+,+,+,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,-,+,155529,61555,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1776,+,+,+,+,+,+,+,+,-,+,-,-,+,-,+,-,-,+,-,-,+,155700,61809,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1777,-,-,+,-,+,+,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,155762,61877,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1778,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,155976,62128,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1779,-,+,+,+,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,156309,62548,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1780,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,156561,62883,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1781,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,156603,62982,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1782,+,-,+,-,-,+,-,-,+,+,-,-,+,-,-,+,-,+,-,-,-,141784,44926,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1783,-,+,+,+,-,+,-,-,-,-,-,-,+,-,+,-,-,+,-,-,+,141795,44941,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1784,-,+,+,+,-,+,-,-,-,-,-,-,+,-,+,-,-,+,-,-,+,141798,44944,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1785,-,+,+,+,+,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,157210,63736,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1786,-,+,+,+,-,+,-,-,-,+,-,-,+,-,+,-,-,+,-,-,+,141817,44963,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1787,-,-,+,+,-,+,-,-,-,-,-,-,+,-,+,-,-,+,+,-,+,141847,45027,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1788,-,-,+,+,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,141848,45028,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1789,-,+,+,+,-,+,-,-,-,-,-,-,+,-,+,-,-,+,-,-,+,141853,45033,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1790,-,+,+,+,+,+,+,-,-,+,+,+,+,-,+,-,-,+,-,-,+,141883,45074,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1791,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,+,141884,45075,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1792,-,+,+,+,+,+,+,+,-,+,-,-,+,-,+,-,-,+,+,-,+,141953,45146,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1793,-,-,+,-,-,+,-,-,+,-,+,-,+,-,-,+,-,-,-,-,+,141330,44293,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1794,-,-,+,+,-,-,-,-,+,+,-,+,+,-,-,+,+,+,+,-,+,141973,45169,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1795,+,-,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,141995,45205,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
1796,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,2130,45233,1,2019-11-19 10:00:06,2019-11-19 10:00:06,,2019-11-19 10:00:06
2053,-,+,+,-,-,+,-,-,+/-,+,-,-,-,-,-,-,-,-,-,-,-,2126,2005,1,2018-02-22 00:00:00,2018-02-23 11:00:03,274.0,2019-11-20 07:22:48
2054,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,2134,7718,1,2018-05-30 00:00:00,2018-06-11 12:35:03,276.0,2019-11-20 07:22:48
2055,-,+,+,+,-,+,+/-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,23822,20492,1,2018-07-05 00:00:00,2018-07-06 09:45:03,277.0,2019-11-20 07:22:48
2056,-,+,+,+,-,+,+/-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,131216,22855,1,2018-07-05 00:00:00,2018-07-06 10:05:03,278.0,2019-11-20 07:22:48
2057,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,6102,15441,1,2018-08-10 00:00:00,2018-08-29 15:00:03,279.0,2019-11-20 07:22:48
2058,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,157922,64494,1,2018-09-21 00:00:00,2018-09-21 10:35:03,280.0,2019-11-20 07:22:48
2059,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,+,157921,64493,1,2018-09-21 00:00:00,2018-09-21 10:35:03,281.0,2019-11-20 07:22:48
2060,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,+,157923,64495,1,2018-09-21 00:00:00,2018-09-21 10:35:03,282.0,2019-11-20 07:22:48
2061,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,+,157924,64496,1,2018-09-21 00:00:00,2018-09-21 10:40:03,283.0,2019-11-20 07:22:48
2062,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,+,157925,64497,1,2018-09-21 00:00:00,2018-09-21 10:40:03,284.0,2019-11-20 07:22:48
2063,-,+,+,+,-,+,+/-,-,-,+/-,-,+,-,-,-,-,-,-,-,-,+,132840,24628,1,2018-09-20 00:00:00,2018-10-01 14:55:03,285.0,2019-11-20 07:22:48
2064,-,+,+,-,+/-,+/-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,157035,64329,1,2017-09-13 00:00:00,2018-10-10 14:05:03,286.0,2019-11-20 07:22:48
2065,+,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,,24099,20491,1,2018-12-06 00:00:00,2018-12-10 13:30:03,287.0,2019-11-20 07:22:48
2066,-,+,+,-,-,+,-,-,-,+,-,+,+,+/-,+,+,+,+,+,-,+,157920,64492,1,2018-09-13 00:00:00,2018-12-18 13:30:05,288.0,2019-11-20 07:22:48
2067,+,+,+,+,+,+,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,2139,16626,1,2019-01-09 00:00:00,2019-01-16 13:30:04,289.0,2019-11-20 07:22:48
2068,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,,23819,20311,1,2019-01-21 00:00:00,2019-01-21 14:25:03,290.0,2019-11-20 07:22:48
2069,-,+,+,-,-,+,-,-,-,+,-,-,+/-,-,+/-,-,+/-,-,+/-,-,+,2103,1684,1,2019-02-14 00:00:00,2019-02-19 09:35:04,291.0,2019-11-20 07:22:48
2070,-,+,+,+,-,+,-,-,-,-,-,-,+,-,+/-,-,-,+/-,-,-,+,131213,22852,1,2019-03-07 00:00:00,2019-03-08 08:15:04,292.0,2019-11-20 07:22:48
2071,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,6102,15441,1,2019-03-06 00:00:00,2019-03-08 08:25:03,293.0,2019-11-20 07:22:48
2072,-,+,+,+,+,+,-,-,-,+,-,-,+,-,+/-,-,-,-,-,-,+,2145,17498,1,2019-05-09 00:00:00,2019-05-24 11:05:04,297.0,2019-11-20 07:22:48
2073,-,+,+,+,-,+,+/-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,132840,24628,1,2019-07-11 00:00:00,2019-07-12 10:25:03,298.0,2019-11-20 07:22:48
2074,+,+,-,+,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,+,6108,16601,1,2019-09-18 00:00:00,2019-09-24 13:05:09,300.0,2019-11-20 07:22:48
2075,+,-,-,-,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,+,157652,64221,1,2019-09-18 00:00:00,2019-09-25 12:20:09,301.0,2019-11-20 07:22:48
