ID_cell_morphology,cell_len,rgStart_len,rgEnd_len,cell_len_unit,cell_width,rgStart_wid,rgEnd_wid,cell_width_unit,cell_shape,motility,flagellum_arrangement,gram_stain,ID_strains,ID_reference,manual_annotation,api_import,last_change
2,1.1-2.3,1.1,2.3,µm,,,,,rod-shaped,,,,131,22887,1,,2017-01-23 08:54:19
3,1.4,1.4,1.4,µm,0.6,0.6,0.6,µm,,,,,132,21411,1,,2016-06-07 08:53:46
39,1.3-1.6,1.3,1.6,µm,0.8-1.2,0.8,1.2,µm,,0.0,,,11,23232,1,,2017-01-23 09:18:52
6,1.4,1.4,1.4,µm,0.8,0.8,0.8,µm,rod-shaped,,monotrichous,,374,22906,1,,2017-01-13 12:05:12
8,5.5-6,5.5,6.0,µm,,,,µm,,,,,654,22893,1,,2017-01-23 08:54:19
9,1-1.2,1.0,1.2,µm,0.5-0.7,0.5,0.7,µm,,,,,1264,22902,1,,2017-01-23 09:18:52
10,3-10,3.0,10.0,µm,,,,µm,,,,,1265,22896,1,,2017-01-23 08:54:19
11,,,,,,,,,,,,positive,1265,22897,1,,2016-06-07 08:53:46
12,,,,,,,,,rod-shaped,,,positive,1290,22892,1,,2017-01-13 12:05:12
13,1.5,1.5,1.5,µm,0.5,0.5,0.5,µm,,,,variable,1757,22917,1,,2016-06-07 08:53:46
14,,,,,,,,,rod-shaped,,"monotrichous, polar",,2085,22944,1,,2017-01-13 12:05:12
15,1-1.5,1.0,1.5,µm,,,,µm,,,,,2421,22907,1,,2017-01-23 08:54:19
16,2,2.0,2.0,µm,0.5-1.5,0.5,1.5,µm,,,,,5117,22945,1,,2017-01-23 09:18:52
17,,,,,,,,,,,,negative,5762,22916,1,,2016-06-07 08:53:46
18,2.5-5,2.5,5.0,µm,0.5-1,0.5,1.0,µm,rod-shaped,,polar,negative,6102,22920,1,,2017-01-23 09:18:52
19,,,,,,,,,,,,positive,6596,22931,1,,2016-06-07 08:53:46
20,,,,,,,,,,,,positive,6655,22929,1,,2016-06-07 08:53:46
21,,,,,,,,,rod-shaped,,,,6875,22933,1,,2017-01-13 12:05:12
22,,,,,,,,,,,,positive,11256,22955,1,,2016-06-07 08:53:46
23,,,,,,,,,rod-shaped,,,negative,11874,22935,1,,2017-01-13 12:05:12
24,,,,,,,,,rod-shaped,,,,11874,22936,1,,2017-01-13 12:05:12
25,,,,,,,,,,,,positive,12583,22921,1,,2016-06-07 08:53:46
26,0.2-0.6,0.2,0.6,µm,,,,µm,rod-shaped,,"monotrichous, polar",negative,12800,22938,1,,2017-01-23 08:54:19
27,,,,,,,,,rod-shaped,,,,12800,22939,1,,2017-01-13 12:05:12
28,,,,,,,,,rod-shaped,,,negative,12851,22942,1,,2017-12-05 13:55:35
29,1-2,1.0,2.0,µm,0.3-0.6,0.3,0.6,µm,,,,,12851,22941,1,,2017-01-23 09:18:52
30,,,,,,,,,rod-shaped,,polar,negative,12871,22942,1,,2017-01-13 12:05:12
31,,,,,,,,,,,,positive,16741,22925,1,,2016-06-07 08:53:46
32,,,,,,,,,rod-shaped,,,negative,17569,22949,1,,2017-01-13 12:05:12
33,1.5,1.5,1.5,µm,0.5,0.5,0.5,µm,rod-shaped,,polar,negative,17532,22951,1,,2017-01-13 12:05:12
34,2.2,2.2,2.2,µm,0.4,0.4,0.4,µm,,,,,18100,22889,1,,2016-06-07 08:53:46
35,4.7,4.7,4.7,µm,0.8,0.8,0.8,µm,rod-shaped,1.0,,,18157,18281,1,,2017-01-13 12:05:12
36,10,10.0,10.0,µm,0.85,0.85,0.85,µm,other,1.0,,negative,23454,21410,1,,2016-06-07 08:53:46
37,2.75,2.75,2.75,µm,0.9,0.9,0.9,µm,rod-shaped,,,negative,24776,21408,1,,2017-01-13 12:05:12
38,2.75,2.75,2.75,µm,0.65,0.65,0.65,µm,rod-shaped,0.0,,negative,24777,21408,1,,2017-01-13 12:05:12
40,2.0-4.0,2.0,4.0,µm,1,1.0,1.0,µm,rod-shaped,0.0,,negative,12,23233,1,,2017-01-23 08:54:19
41,1.1-1.3,1.1,1.3,µm,0.9,0.9,0.9,µm,ellipsoidal,0.0,,negative,13,23233,1,,2017-01-23 09:18:52
42,3.6-5.1,3.6,5.1,µm,0.8-0.9,0.8,0.9,µm,rod-shaped,1.0,peritrichous,negative,19,23234,1,,2017-01-23 09:18:52
43,1.5-2.0,1.5,2.0,µm,0.1-0.2,0.1,0.2,µm,rod-shaped,1.0,polar,negative,20,23235,1,,2017-01-23 09:18:52
44,1.2-2.0,1.2,2.0,µm,0.8,0.8,0.8,µm,coccus-shaped,1.0,,negative,21,23236,1,,2017-01-23 08:54:19
45,1.5-2.5,1.5,2.5,µm,0.8,0.8,0.8,µm,rod-shaped,,,negative,22,23237,1,,2017-01-23 08:54:19
46,1.2-3.0,1.2,3.0,µm,0.8,0.8,0.8,µm,rod-shaped,1.0,,negative,23,23238,1,,2017-01-23 08:54:19
47,0.6-0.8,0.6,0.8,µm,0.3-0.4,0.3,0.4,µm,rod-shaped,1.0,"monotrichous, polar",negative,26,23239,1,,2017-01-23 09:18:52
48,0.6-0.8,0.6,0.8,µm,0.3-0.4,0.3,0.4,µm,rod-shaped,1.0,lophotrichous,negative,26,23239,1,,2017-01-23 09:18:52
49,1.0-4.5,1.0,4.5,µm,0.6-1.0,0.6,1.0,µm,rod-shaped,1.0,peritrichous,negative,34,23240,1,,2017-01-23 09:18:52
50,,,,,,,,,coccus-shaped,0.0,,negative,38,23241,1,,2017-01-13 12:40:56
51,1.8,1.8,1.8,µm,1.8,1.8,1.8,µm,coccus-shaped,0.0,,negative,39,23242,1,,2017-01-13 12:40:56
52,1.3-2.2,1.3,2.2,µm,0.7-0.9,0.7,0.9,µm,rod-shaped,1.0,peritrichous,negative,42,23243,1,,2017-01-23 09:18:52
53,1.6-2.0,1.6,2.0,µm,0.5-0.6,0.5,0.6,µm,rod-shaped,1.0,peritrichous,negative,43,22919,1,,2017-01-23 09:18:52
54,1.5-1.9,1.5,1.9,µm,0.5-0.6,0.5,0.6,µm,rod-shaped,1.0,peritrichous,negative,44,22919,1,,2017-01-23 09:18:52
55,,,,,,,,,rod-shaped,,,negative,48,23244,1,,2017-01-13 12:40:56
56,,,,,,,,,rod-shaped,,,negative,53,23244,1,,2017-01-13 12:40:56
57,2.0-3.0,2.0,3.0,µm,0.6-0.8,0.6,0.8,µm,rod-shaped,0.0,,negative,58,23245,1,,2017-01-23 09:18:52
58,1.3-1.6,1.3,1.6,µm,0.9-1.3,0.9,1.3,µm,coccus-shaped,1.0,"monotrichous, polar",negative,60,23246,1,,2017-01-23 09:18:52
59,2.5-4.0,2.5,4.0,µm,0.8-1.0,0.8,1.0,µm,rod-shaped,0.0,,negative,63,23247,1,,2017-01-23 09:18:52
60,0.7-3.0,0.7,3.0,µm,,,,,star-shaped,0.0,,negative,64,23248,1,,2017-01-23 08:54:19
61,1.9-2.5,1.9,2.5,µm,,,,,star-shaped,0.0,,negative,65,23248,1,,2017-01-23 08:54:19
62,0.8-1.2,0.8,1.2,µm,0.7-1.0,0.7,1.0,µm,coccus-shaped,0.0,,negative,67,23249,1,,2017-01-23 09:18:52
63,0.8-1.5,0.8,1.5,µm,0.5-0.8,0.5,0.8,µm,coccus-shaped,0.0,,negative,71,23250,1,,2017-01-23 09:18:52
64,1.2-2.0,1.2,2.0,µm,1.0,1.0,1.0,µm,,0.0,,negative,72,22959,1,,2017-01-23 08:54:19
65,0.9-2.2,0.9,2.2,µm,0.9-1.0,0.9,1.0,µm,rod-shaped,0.0,,negative,73,22960,1,,2017-01-23 09:18:52
66,1.2-1.5,1.2,1.5,µm,,,,,coccus-shaped,0.0,,negative,76,22961,1,,2017-01-23 08:54:19
67,,,,,,,,,coccus-shaped,0.0,,negative,77,22962,1,,2017-01-13 12:40:56
68,,,,,,,,,coccus-shaped,0.0,,negative,80,22963,1,,2017-01-13 12:40:56
69,1.9-4.1,1.9,4.1,µm,0.8-1.5,0.8,1.5,µm,coccus-shaped,0.0,,negative,81,22964,1,,2017-01-23 09:18:52
70,1.4-3.1,1.4,3.1,µm,0.7-1.2,0.7,1.2,µm,coccus-shaped,0.0,,negative,82,22964,1,,2017-01-23 09:18:52
71,0.5-0.6,0.5,0.6,µm,,,,,coccus-shaped,0.0,,negative,99,22965,1,,2017-01-23 08:54:19
72,<1.8,1.8,1.8,µm,0.3-0.5,0.3,0.5,µm,rod-shaped,0.0,,negative,103,22966,1,,2017-01-23 09:18:52
73,2.0-10.0,2.0,10.0,µm,0.5,0.5,0.5,µm,vibrio-shaped,1.0,,negative,105,22967,1,,2017-01-23 08:54:19
74,1.0-1.5,1.0,1.5,µm,0.35-0.4,0.35,0.4,µm,rod-shaped,1.0,,positive,106,22968,1,,2017-01-23 09:18:52
75,1.0-3.0,1.0,3.0,µm,0.5,0.5,0.5,µm,rod-shaped,1.0,,negative,108,22969,1,,2017-01-23 08:54:19
76,1.0-3.0,1.0,3.0,mm,,,,,filament-shaped,0.0,,negative,109,22969,1,,2017-01-23 08:54:19
77,1.5-2.1,1.5,2.1,µm,0.7-0.9,0.7,0.9,µm,rod-shaped,0.0,,negative,133,21411,1,,2017-01-23 09:18:52
78,1.5-3.0,1.5,3.0,µm,0.5-0.7,0.5,0.7,µm,rod-shaped,0.0,,negative,135,22970,1,,2017-01-23 09:18:52
79,1.5-9.0,1.5,9.0,µm,0.5-1.0,0.5,1.0,µm,rod-shaped,0.0,,negative,136,22971,1,,2017-01-23 09:18:52
80,1.5-15.0,1.5,15.0,µm,0.8-1.0,0.8,1.0,µm,rod-shaped,0.0,,negative,137,22971,1,,2017-01-23 09:18:52
81,1.5-10.0,1.5,10.0,µm,0.8-1.5,0.8,1.5,µm,rod-shaped,0.0,,negative,138,22971,1,,2017-01-23 09:18:52
82,1.5-3.5,1.5,3.5,µm,0.4-0.6,0.4,0.6,µm,rod-shaped,0.0,,negative,139,22971,1,,2017-01-23 09:18:52
83,2.0-10.0,2.0,10.0,µm,0.4-0.6,0.4,0.6,µm,rod-shaped,1.0,,negative,140,22887,1,,2017-01-23 09:18:52
84,1.7-4.0,1.7,4.0,µm,0.7-1.0,0.7,1.0,µm,rod-shaped,0.0,,negative,141,23106,1,,2017-01-23 09:18:52
85,1.0-3.0,1.0,3.0,µm,0.6-0.9,0.6,0.9,µm,rod-shaped,0.0,,negative,142,23352,1,,2017-01-23 09:18:52
86,1.0-2.0,1.0,2.0,µm,0.5-0.8,0.5,0.8,µm,rod-shaped,0.0,,negative,143,23352,1,,2017-01-23 09:18:52
87,1.0-3.0,1.0,3.0,µm,0.5,0.5,0.5,µm,rod-shaped,0.0,,positive,144,23353,1,,2017-01-23 08:54:19
88,2.0-3.0,2.0,3.0,µm,0.3-0.5,0.3,0.5,µm,rod-shaped,0.0,,positive,144,23354,1,,2017-01-23 09:18:52
89,,,,,,,,,rod-shaped,0.0,,positive,145,23353,1,,2017-01-13 12:40:56
90,,,,,,,,,,0.0,,positive,159,23355,1,,2017-01-13 12:40:56
91,,,,,,,,,rod-shaped,,,,160,23107,1,,2017-01-13 12:40:56
92,0.9-3.0,0.9,3.0,µm,0.5-0.9,0.5,0.9,µm,rod-shaped,0.0,,positive,161,23108,1,,2017-01-23 09:18:52
94,3.3-6.1,3.3,6.1,µm,0.9-1.0,0.9,1.0,µm,rod-shaped,0.0,,positive,162,23355,1,,2017-01-23 09:18:52
95,,,,,,,,,rod-shaped,0.0,,positive,167,23109,1,,2017-01-13 12:40:56
96,,,,,,,,,rod-shaped,0.0,,positive,174,23110,1,,2017-01-13 12:40:56
97,,,,,,,,,rod-shaped,0.0,,positive,175,23111,1,,2017-01-13 12:40:56
98,2.0-4.0,2.0,4.0,µm,,,,,rod-shaped,0.0,,positive,177,23112,1,,2017-01-23 08:54:19
99,,,,,,,,,rod-shaped,0.0,,positive,178,23113,1,,2017-01-13 12:40:56
100,,,,,,,,,rod-shaped,0.0,,positive,179,23114,1,,2017-01-13 12:40:56
101,,,,,,,,,rod-shaped,0.0,,positive,180,23115,1,,2017-01-13 12:40:56
102,,,,,,,,,rod-shaped,,,positive,181,23117,1,,2017-01-13 12:40:56
103,,,,,,,,,rod-shaped,0.0,,positive,182,23118,1,,2017-01-13 12:40:56
104,,,,,,,,,rod-shaped,0.0,,positive,185,23119,1,,2017-01-13 12:40:56
105,,,,,,,,,rod-shaped,0.0,,positive,186,23120,1,,2017-01-13 12:40:56
106,,,,,,,,,rod-shaped,0.0,,positive,187,23121,1,,2017-01-13 12:40:56
107,,,,,,,,,rod-shaped,,,positive,188,23122,1,,2017-01-13 12:40:56
108,,,,,,,,,rod-shaped,0.0,,positive,189,23123,1,,2017-01-13 12:40:56
109,2.5-3.2,2.5,3.2,µm,0.9-1.2,0.9,1.2,µm,rod-shaped,0.0,,negative,294,23264,1,,2017-01-23 09:18:52
110,,,,,,,,,,0.0,,positive,197,22976,1,,2017-01-13 12:40:56
111,,,,,,,,,,0.0,,positive,202,22972,1,,2017-01-13 12:40:56
112,,,,,,,,,rod-shaped,0.0,,positive,203,22973,1,,2017-01-13 12:40:56
113,1.0-2.0,1.0,2.0,µm,0.5,0.5,0.5,µm,rod-shaped,0.0,,positive,204,22974,1,,2017-01-23 08:54:19
114,2.9,2.9,2.9,µm,<0.5,0.5,0.5,µm,rod-shaped,1.0,lophotrichous,negative,206,22975,1,,2017-01-13 12:40:56
115,1.7,1.7,1.7,µm,<0.5,0.5,0.5,µm,rod-shaped,1.0,lophotrichous,variable,208,22975,1,,2017-01-13 12:40:56
116,1.7,1.7,1.7,µm,<0.5,0.5,0.5,µm,rod-shaped,1.0,lophotrichous,variable,209,22975,1,,2017-01-13 12:40:56
117,0.3-2.5,0.3,2.5,µm,0.2-0.9,0.2,0.9,µm,coccus-shaped,0.0,,,212,22976,1,,2017-01-23 09:18:52
118,0.3-2.5,0.3,2.5,µm,0.2-0.9,0.2,0.9,µm,coccus-shaped,0.0,,,214,22976,1,,2017-01-23 09:18:52
119,0.3-2.5,0.3,2.5,µm,0.2-0.9,0.2,0.9,µm,coccus-shaped,0.0,,,216,22976,1,,2017-01-23 09:18:52
120,0.3-2.5,0.3,2.5,µm,0.2-0.9,0.2,0.9,µm,coccus-shaped,0.0,,,217,22976,1,,2017-01-23 09:18:52
121,0.3-2.5,0.3,2.5,µm,0.2-0.9,0.2,0.9,µm,coccus-shaped,0.0,,,218,22976,1,,2017-01-23 09:18:52
122,,,,,,,,,sphere-shaped,0.0,,positive,222,22981,1,,2017-01-13 12:40:56
123,,,,,,,,,coccus-shaped,,,positive,224,22977,1,,2017-01-13 12:40:56
124,,,,,,,,,coccus-shaped,,,positive,225,22978,1,,2017-01-13 12:40:56
125,,,,,,,,,coccus-shaped,0.0,,positive,226,22979,1,,2017-01-13 12:40:56
126,,,,,,,,,coccus-shaped,0.0,,positive,227,22980,1,,2017-01-13 12:40:56
127,,,,,,,,,ovoid-shaped,0.0,,positive,229,23251,1,,2017-01-13 12:40:56
128,,,,,,,,,coccus-shaped,,,positive,230,23252,1,,2017-01-13 12:40:56
129,,,,,,,,,coccus-shaped,,,variable,234,23374,1,,2017-01-13 12:40:56
130,,,,,,,,,coccus-shaped,0.0,,positive,235,23253,1,,2017-01-13 12:40:56
131,1-2,1.0,2.0,µm,,,,,rod-shaped,0.0,,negative,242,23254,1,,2017-01-23 08:54:19
132,,,,,,,,,rod-shaped,1.0,,negative,258,23255,1,,2017-01-13 12:40:56
133,,,,,,,,,rod-shaped,1.0,"monotrichous, polar",negative,261,23256,1,,2017-01-13 12:40:56
134,1.2-2.2,1.2,2.2,µm,0.5-1.0,0.5,1.0,µm,rod-shaped,1.0,"monotrichous, polar",negative,262,23257,1,,2017-01-23 09:18:52
135,1-2,1.0,2.0,µm,0.4-0.5,0.4,0.5,µm,rod-shaped,1.0,"monotrichous, polar",negative,271,23258,1,,2017-01-23 09:18:52
136,,,,,,,,,rod-shaped,1.0,,negative,279,23259,1,,2017-01-13 12:40:56
137,,,,,,,,,coccus-shaped,,,,280,23260,1,,2017-01-13 12:40:56
138,0.5-2.0,0.5,2.0,µm,0.3-1.0,0.3,1.0,µm,rod-shaped,1.0,"monotrichous, polar",negative,280,23260,1,,2017-01-23 09:18:52
139,3-3.5,3.0,3.5,µm,0.6-0.7,0.6,0.7,µm,rod-shaped,1.0,"monotrichous, polar",negative,283,23261,1,,2017-01-23 09:18:52
140,1.8-2.5,1.8,2.5,µm,0.8-1,0.8,1.0,µm,rod-shaped,1.0,,negative,285,23262,1,,2017-01-23 09:18:52
141,2.5,2.5,2.5,µm,0.7,0.7,0.7,µm,rod-shaped,1.0,,negative,286,23262,1,,2017-01-13 12:40:56
142,2.0-2.5,2.0,2.5,µm,0.5-0.7,0.5,0.7,µm,rod-shaped,1.0,"monotrichous, polar",negative,288,23263,1,,2017-01-23 09:18:52
143,2.4-3.6,2.4,3.6,µm,0.9,0.9,0.9,µm,rod-shaped,0.0,,negative,295,23265,1,,2017-01-23 09:18:52
144,1-2,1.0,2.0,µm,,,,,coccus-shaped,,,negative,322,23266,1,,2017-01-23 08:54:19
145,1-2,1.0,2.0,µm,,,,,coccus-shaped,,,negative,323,23266,1,,2017-01-23 08:54:19
146,0.9-1.1,0.9,1.1,µm,,,,,coccus-shaped,0.0,,negative,343,23267,1,,2017-01-23 08:54:19
147,1.2-2.0,1.2,2.0,µm,0.3-0.5,0.3,0.5,µm,rod-shaped,0.0,,negative,349,23268,1,,2017-01-23 09:18:52
148,1.6-2.5,1.6,2.5,µm,0.7-0.8,0.7,0.8,µm,rod-shaped,1.0,,negative,350,23269,1,,2017-01-23 09:18:52
149,1.4-1.7,1.4,1.7,µm,0.3-0.5,0.3,0.5,µm,rod-shaped,1.0,,negative,351,23270,1,,2017-01-23 09:18:52
150,1-2,1.0,2.0,µm,,,,,coccus-shaped,,,negative,354,23271,1,,2017-01-23 08:54:19
151,1,1.0,1.0,µm,,,,,rod-shaped,0.0,,negative,355,23272,1,,2017-01-13 12:40:56
152,1,1.0,1.0,µm,,,,,rod-shaped,1.0,peritrichous,negative,356,23272,1,,2017-01-13 12:40:56
153,1.3-4,1.3,4.0,µm,0.7-1.2,0.7,1.2,µm,rod-shaped,1.0,,negative,357,23273,1,,2017-01-23 09:18:52
154,0.7-2.5,0.7,2.5,µm,0.3-0.6,0.3,0.6,µm,rod-shaped,0.0,,negative,360,23274,1,,2017-01-23 09:18:52
155,1.0-2.5,1.0,2.5,µm,0.5-0.8,0.5,0.8,µm,rod-shaped,0.0,,negative,361,23275,1,,2017-01-23 09:18:52
156,1-1.5,1.0,1.5,µm,0.5-0.8,0.5,0.8,µm,rod-shaped,1.0,"monotrichous, polar",negative,362,23276,1,,2017-01-23 09:18:52
157,0.7-1.0,0.7,1.0,µm,0.3-0.5,0.3,0.5,µm,rod-shaped,1.0,,negative,363,23277,1,,2017-01-23 09:18:52
158,0.5-0.8,0.5,0.8,µm,0.3-0.6,0.3,0.6,µm,rod-shaped,1.0,,negative,364,23278,1,,2017-01-23 09:18:52
159,0.6-0.9,0.6,0.9,µm,0.5-0.7,0.5,0.7,µm,rod-shaped,1.0,amphitrichous,negative,365,23279,1,,2017-01-23 09:18:52
160,1-2,1.0,2.0,µm,0.4-0.5,0.4,0.5,µm,rod-shaped,1.0,peritrichous,negative,377,23280,1,,2017-01-23 09:18:52
161,,,,,,,,,rod-shaped,1.0,peritrichous,negative,378,23281,1,,2017-01-13 12:40:56
162,1-1.8,1.0,1.8,µm,0.5-0.6,0.5,0.6,µm,rod-shaped,1.0,peritrichous,negative,379,22905,1,,2017-01-23 09:18:52
163,1.0-2.8,1.0,2.8,µm,0.4-0.7,0.4,0.7,µm,rod-shaped,0.0,,negative,382,23282,1,,2017-01-23 09:18:52
164,1-2,1.0,2.0,µm,,,,,rod-shaped,,,negative,385,23283,1,,2017-01-23 08:54:19
165,0.8-2.0,0.8,2.0,µm,0.3-0.7,0.3,0.7,µm,rod-shaped,1.0,lophotrichous,negative,394,23284,1,,2017-01-23 09:18:52
166,4.8-6.3,4.8,6.3,µm,0.9-1.1,0.9,1.1,µm,rod-shaped,1.0,,positive,414,23285,1,,2017-01-23 09:18:52
167,1.2-1.8,1.2,1.8,µm,0.5-0.6,0.5,0.6,µm,rod-shaped,1.0,"monotrichous, polar",negative,437,23286,1,,2017-01-23 09:18:52
168,1.0-1.8,1.0,1.8,µm,0.4-0.6,0.4,0.6,µm,rod-shaped,1.0,"monotrichous, polar",negative,438,23286,1,,2017-01-23 09:18:52
169,2,2.0,2.0,µm,0.5-1.0,0.5,1.0,µm,rod-shaped,0.0,,negative,440,23287,1,,2017-01-23 09:18:52
170,2.0-7.0,2.0,7.0,µm,0.4,0.4,0.4,µm,rod-shaped,1.0,"monotrichous, polar",negative,447,23288,1,,2017-01-23 08:54:19
171,0.7-0.9,0.7,0.9,µm,,,,,rod-shaped,1.0,"monotrichous, polar",negative,449,23289,1,,2017-01-23 08:54:19
172,1.8,1.8,1.8,µm,0.9,0.9,0.9,µm,rod-shaped,1.0,"monotrichous, polar",negative,450,23290,1,,2017-01-13 12:40:56
173,,,,,,,,,rod-shaped,1.0,,negative,451,23291,1,,2017-01-13 12:40:56
174,1-5,1.0,5.0,µm,0.2-0.4,0.2,0.4,µm,,,,,451,23291,1,,2017-01-23 09:18:52
175,1.6-2.3,1.6,2.3,µm,0.5-0.7,0.5,0.7,µm,rod-shaped,1.0,"monotrichous, polar",negative,459,23292,1,,2017-01-23 09:18:52
176,2.1-3.0,2.1,3.0,µm,0.5-0.7,0.5,0.7,µm,rod-shaped,1.0,"monotrichous, polar",negative,460,23293,1,,2017-01-23 09:18:52
177,1.1-1.7,1.1,1.7,µm,0.3-0.5,0.3,0.5,µm,rod-shaped,0.0,,negative,465,23292,1,,2017-01-23 09:18:52
178,1.5-3.0,1.5,3.0,µm,0.5,0.5,0.5,µm,rod-shaped,1.0,"monotrichous, polar",negative,470,23294,1,,2017-01-23 08:54:19
179,,,,,,,,,pleomorphic-shaped,,,,470,23294,1,,2017-01-13 12:40:56
180,2-3,2.0,3.0,µm,0.3-0.6,0.3,0.6,µm,rod-shaped,1.0,"monotrichous, polar",negative,473,23295,1,,2017-01-23 09:18:52
181,2.5-3.5,2.5,3.5,µm,0.3-0.5,0.3,0.5,µm,rod-shaped,1.0,,negative,478,23296,1,,2017-01-23 09:18:52
182,1.8-2.5,1.8,2.5,µm,0.3-0.4,0.3,0.4,µm,rod-shaped,1.0,,negative,479,23297,1,,2017-01-23 09:18:52
183,1.0-1.3,1.0,1.3,µm,0.4-0.5,0.4,0.5,µm,rod-shaped,1.0,,negative,480,23297,1,,2017-01-23 09:18:52
184,1.5-3.0,1.5,3.0,µm,0.6-0.9,0.6,0.9,µm,rod-shaped,1.0,"monotrichous, polar",negative,481,23298,1,,2017-01-23 09:18:52
185,1.5-3.0,1.5,3.0,µm,0.6-0.8,0.6,0.8,µm,rod-shaped,1.0,"monotrichous, polar",negative,483,23298,1,,2017-01-23 09:18:52
186,1.2-4.5,1.2,4.5,µm,0.5-1.3,0.5,1.3,µm,rod-shaped,1.0,polar,negative,491,23124,1,,2017-01-23 09:18:52
187,1.6-3.0,1.6,3.0,µm,0.3-0.5,0.3,0.5,µm,rod-shaped,1.0,,negative,492,23125,1,,2017-01-23 09:18:52
188,1.7-2.4,1.7,2.4,µm,0.6-0.8,0.6,0.8,µm,rod-shaped,1.0,polar,negative,493,23126,1,,2017-01-23 09:18:52
189,>100,100.0,100.0,µm,0.2-0.3,0.2,0.3,µm,filament-shaped,0.0,,negative,501,23127,1,,2017-01-23 09:18:52
190,>100,100.0,100.0,µm,0.3-0.4,0.3,0.4,µm,filament-shaped,0.0,,negative,502,23356,1,,2017-01-23 09:18:52
191,>100,100.0,100.0,µm,<0.2,0.2,0.2,µm,filament-shaped,0.0,,negative,503,23356,1,,2017-01-13 12:40:56
192,>100,100.0,100.0,µm,0.4-0.5,0.4,0.5,µm,filament-shaped,0.0,,negative,504,23356,1,,2017-01-23 09:18:52
193,2.0-3.0,2.0,3.0,µm,0.3-0.5,0.3,0.5,µm,rod-shaped,0.0,,negative,512,23128,1,,2017-01-23 09:18:52
194,2-4,2.0,4.0,µm,0.3-0.4,0.3,0.4,µm,rod-shaped,1.0,,negative,515,23129,1,,2017-01-23 09:18:52
195,2.4-3.9,2.4,3.9,µm,0.5-0.6,0.5,0.6,µm,rod-shaped,1.0,,negative,525,23130,1,,2017-01-23 09:18:52
196,1.5-2.5,1.5,2.5,µm,1.0,1.0,1.0,µm,rod-shaped,1.0,polar,negative,526,23131,1,,2017-01-23 09:18:52
197,0.7-1.4,0.7,1.4,µm,0.4-1.0,0.4,1.0,µm,rod-shaped,0.0,,negative,528,23132,1,,2017-01-23 09:18:52
198,1.3-1.5,1.3,1.5,µm,0.4-1.1,0.4,1.1,µm,rod-shaped,0.0,,negative,531,23133,1,,2017-01-23 09:18:52
199,0.4-1.2,0.4,1.2,µm,0.9,0.9,0.9,µm,rod-shaped,0.0,,negative,532,23134,1,,2017-01-23 08:54:19
200,1.0-1.5,1.0,1.5,µm,0.4-1.3,0.4,1.3,µm,rod-shaped,1.0,,negative,533,23135,1,,2017-01-23 09:18:52
201,0.8-1.2,0.8,1.2,µm,0.6-0.8,0.6,0.8,µm,rod-shaped,1.0,,negative,534,23136,1,,2017-01-23 09:18:52
202,3.0-5.0,3.0,5.0,µm,1.0,1.0,1.0,µm,rod-shaped,1.0,,positive,569,23137,1,,2017-01-23 08:54:19
203,3.0-8.0,3.0,8.0,µm,0.8-1.0,0.8,1.0,µm,rod-shaped,1.0,,variable,570,23359,1,,2017-01-23 09:18:52
204,3.0-8.0,3.0,8.0,µm,0.8-1.0,0.8,1.0,µm,rod-shaped,1.0,,variable,571,23359,1,,2017-01-23 09:18:52
205,,,,,,,,,rod-shaped,1.0,,positive,572,23138,1,,2017-01-13 12:40:56
206,1.8-3.0,1.8,3.0,µm,0.7-0.9,0.7,0.9,µm,rod-shaped,1.0,peritrichous,positive,598,24474,1,,2017-03-15 08:39:31
207,3-10,3.0,10.0,µm,0.9-1.0,0.9,1.0,µm,rod-shaped,1.0,peritrichous,positive,599,23140,1,,2017-01-23 09:18:52
208,2.0-4.0,2.0,4.0,µm,0.5-1.0,0.5,1.0,µm,rod-shaped,1.0,,positive,1077,23299,1,,2017-01-23 09:18:52
209,,,,,0.6-0.7,0.6,0.7,µm,,1.0,peritrichous,positive,1081,23300,1,,2017-01-23 09:18:52
